Latitude,Longitude,CustType
-6.7575148,39.2040513,personal
-6.7405999,39.1489979,personal
-6.8038095,39.166302,personal
-6.803998818,39.25228613,personal
-6.7053324,39.1127352,personal
-6.8090633,39.2219019,personal
-6.7405999,39.1489979,corporate
-6.7957583,39.19435,personal
-6.79718631,39.2336905,corporate
-6.7408101,39.1719981,personal
-6.791231007,39.20363903,personal
-6.815248251,39.22952615,personal
-6.727734104,39.21080951,personal
-6.7216069,39.1468601,personal
-6.8200517,39.1238448,personal
-6.7937497,39.2417088,personal
-6.812747531,39.21268077,personal
-6.795636902,39.25927418,personal
-6.810242104,39.25965481,personal
-6.797499,39.2323877,personal
-6.7434654,39.1726507,personal
-6.7960455,39.2251697,personal
-6.7434235,39.1722298,personal
-6.7495616,39.1922364,personal
-6.369028,34.888822,personal
-6.369028,34.888822,personal
-6.784420096,39.0916416,personal
-6.790762251,39.19763088,personal
-6.738254822,39.21341562,personal
-6.74441519,39.27504234,personal
-6.738771098,39.22589081,personal
-6.793690724,39.15684493,personal
-6.790337834,39.24327928,personal
-6.7884014,39.2334182,personal
-6.8038095,39.166302,personal
-6.8294781,37.6839409,personal
-6.795858263,39.20588587,personal
-6.8090633,39.2219019,personal
-6.8107874,39.2596277,personal
-6.810002211,39.22380924,personal
-6.7900189,39.1645951,personal
-6.8197286,39.2729993,personal
-6.7606953,39.2328033,personal
-6.7925196,39.2086751,personal
-6.6478035,39.1736599,personal
-6.802281899,39.16003615,personal
-6.8038095,39.166302,personal
-6.7620444,39.2418168,corporate
-6.7231168,39.2299377,personal
-6.784892098,39.25844193,corporate
-6.7405999,39.1489979,personal
-6.774658823,39.2704058,personal
-6.823131322,39.27216527,personal
-6.8091288,39.2655132,personal
-6.7742732,39.2334023,personal
-6.7904705,39.2506594,personal
-6.7907836,39.2556956,personal
-6.7742732,39.2334023,personal
-6.827118633,39.26211689,personal
-6.742348672,39.22972485,personal
-6.782840957,39.23485556,personal
-6.785044,39.2639862,personal
-6.7829438,39.2245606,corporate
-6.8107874,39.2596277,personal
-6.7049833,39.2227383,personal
-6.7473712,39.2816971,personal
-6.8207991,39.2632744,personal
-6.8055176,39.2737513,personal
-6.8107874,39.2596277,personal
-6.8091417,39.2647104,personal
-6.7405999,39.1489979,personal
-6.8038095,39.166302,personal
-6.5843766,39.1227221,personal
-6.6614771,39.2003461,personal
-6.8208371,39.2843636,personal
-6.7849936,39.241609,personal
-6.6519873,39.2003069,personal
-6.7086736,39.1364236,personal
-6.727351445,39.20179215,personal
-6.7937497,39.2417088,personal
-6.6747069,39.1932928,personal
-6.7414821,39.0881198,personal
-6.818322,39.2875377,personal
-6.7620444,39.2418168,corporate
-6.8107874,39.2596277,personal
-6.9230302,39.2529332,personal
-6.7829438,39.2245606,personal
-6.801245248,39.16904926,personal
-6.6614771,39.2003461,personal
-6.7620444,39.2418168,personal
-6.7742732,39.2334023,personal
-6.7231168,39.2299377,personal
-6.689188686,39.15664998,personal
-6.8090633,39.2219019,personal
-6.7231168,39.2299377,personal
-6.8038095,39.166302,personal
-6.7925196,39.2086751,personal
-6.8077377,39.0818149,personal
-6.7994587,39.1909,personal
-6.6173653,39.1235548,personal
-6.7925196,39.2086751,personal
-6.7405999,39.1489979,personal
-6.6650468,39.2061678,personal
-6.369028,34.888822,personal
-6.690854048,39.18550973,personal
-6.807253692,39.21814442,personal
-6.8090633,39.2219019,personal
-6.7851658,39.2574864,personal
-6.792568455,39.20894392,personal
-6.737598636,39.22138221,personal
-6.369081793,34.88874153,personal
-6.814685897,39.27133038,personal
-6.8197286,39.2729993,personal
-6.7829438,39.2245606,corporate
-6.79298665,39.20605726,corporate
-6.795923151,39.11767639,personal
-6.8090633,39.2219019,personal
-6.7414821,39.0881198,personal
-6.8090633,39.2219019,personal
-6.744318165,39.09280041,personal
-6.369028,34.888822,personal
-6.828186,39.2559084,personal
-6.8139798,39.2395925,personal
-6.819688122,39.27309176,personal
-6.7271309,39.2071368,personal
-6.783709962,39.2259468,personal
-6.369028,34.888822,personal
-6.705504872,39.11325932,personal
-6.712502772,39.18116681,personal
-6.779461053,39.23874067,personal
-6.7405999,39.1489979,personal
-6.8141975,39.2901367,personal
-6.6576528,39.1878049,personal
-6.9275886,39.1335549,personal
-6.9275886,39.1335549,personal
-3.6251732,30.585714,personal
-6.7829438,39.2245606,personal
-6.76750991,39.23247712,personal
-6.9275886,39.1335549,corporate
-6.789310219,39.25347467,personal
-2.849490531,32.61012743,personal
-6.6173653,39.1235548,personal
-6.817012629,39.08672884,personal
-6.631617,39.188174,corporate
-6.694564542,39.12171326,personal
-6.608081614,39.10759449,personal
-6.818112001,39.28720432,personal
-6.784748538,39.1925203,personal
-6.7575038,39.1951781,personal
-6.7405999,39.1489979,personal
-6.740645259,39.23196316,personal
-6.6964726,39.1686427,personal
-6.8016344,39.2463691,personal
-6.7575038,39.1951781,personal
-6.7925196,39.2086751,personal
-6.8208371,39.2843636,personal
-6.7904705,39.2506594,personal
-6.7820467,39.2385167,personal
-6.7231168,39.2299377,personal
-6.8090633,39.2219019,personal
-6.698695995,39.20934677,personal
-6.7742732,39.2334023,personal
-6.8107874,39.2596277,corporate
-6.818322,39.2875377,corporate
-6.822249,39.2394637,personal
-6.8107874,39.2596277,personal
-6.7971123,39.2336791,personal
-6.8060567,39.2419245,personal
-6.8197286,39.2729993,personal
-6.705313074,39.11272287,personal
-6.762267465,39.23080877,corporate
-6.7231168,39.2299377,personal
-6.7829438,39.2245606,personal
-6.7271309,39.2071368,personal
-6.8059472,39.2611474,personal
-6.8107874,39.2596277,personal
-6.803733117,39.16657293,personal
-6.5891319,39.1157088,personal
-6.78729739,39.24230399,personal
